5-Fu_28	Acitretin_29	Amoxycillin_00	Artesunate_01	Ascorbic acid_02	Ascorbic acid_30	Bosentan_03	Busulfan_04	Carbamazepine_05	Cetirizine_06	Cetirizine_31	Cyclopamine_07	Cyproheptadine_08	DAPT_10	Dabrafenib_09	Dasatinib_11	Dexamethasone_12	Dorsomorphin_13	Doxycycline_14	Hydroxyurea_15	IWP-2_19	Ibuprofen_16	Ibuprofen_32	Imatinib_17	Isotretinoin_18	Lazabemide_33	Metformin_20	Methotrexate_21	Misoprostol_34	Penicillin G_22	Progesterone_23	Retinoic acid_24	SB431542_25	Thalidomide_26	Valproic acid_27	Warfarin_35
0.0	0.9777550502831625	0.9214429605992344	0.9972477882323165	0.0	0.0	1.0147120242806589	0.09060385515601474	0.07771080726758482	0.9928790051560276	0.9928790051560276	1.01596395673263	0.9092177133136035	0.9990878561035909	0.9915601152427739	0.9996429556149252	0.9987991300382346	0.9967425963268677	0.9978593484648735	0.0	0.9621764981867976	0.35233072214789996	0.35233072214789996	1.0154404838060547	0.981665302827212	0.0	0.0	0.9950973241175856	1.0134247968035788	0.8517224590930808	0.9972345720502065	0.9798169944033742	0.8657142400645752	0.05879427125446871	0.050279388321965775	0.7386336767426196
0.0	0.9776245413057294	0.8903499764165236	0.9971316406129841	0.0	0.0	1.014395323662222	0.0770396205279655	0.07605376070208024	0.9895624594522374	0.9895624594522374	1.0159008134862964	0.9065978882154551	0.9976183014770216	0.9867268564292556	0.9983263385683853	0.9979110393047956	0.9966440197248256	0.997528509782512	0.0	0.9600395685023256	0.333458630028038	0.333458630028038	1.0154004176989022	0.9806742121777058	0.0	0.0	0.9948537936465901	1.0133599980900891	0.8056582095873264	0.9971741128316609	0.9791210502928496	0.8510037213388089	0.05653680820731244	0.04935996239673171	0.7029413160749898
0.0	0.977548485413555	0.8790604407585075	0.9971096112796728	0.0	0.0	1.0141597169968537	0.07553590355116642	0.06880988665226338	0.9888111278016443	0.9888111278016443	1.0157575405321135	0.8895907798713658	0.9973126920786834	0.9845267630670923	0.9977146080679188	0.9976492117846308	0.9964574538762192	0.9971202948907194	0.0	0.95530687481668	0.3181233483259385	0.3181233483259385	1.013974310760324	0.9790426451002654	0.0	0.0	0.9940286856816871	1.013092656529213	0.8003754719830454	0.9970117124197325	0.9780243061840654	0.8416315261210818	0.0518976266725616	0.03920740145830489	0.6624301016008545
0.0	0.9774922570693474	0.8710674710011017	0.9970081411376959	0.0	0.0	1.0139295482476434	0.07234081453292261	0.06457096570547792	0.9791896425590833	0.9791896425590833	1.0154096606456984	0.8840289423131841	0.9972392317151562	0.9810836250353727	0.9976425607184511	0.9975460010178961	0.9960240416311428	0.9961552081918226	0.0	0.9486611714171839	0.3001974689634789	0.3001974689634789	1.0133036683336722	0.9782449726078308	0.0	0.0	0.99168372879881	1.0130016725411848	0.7845088681957394	0.9969735291304116	0.9775758446271872	0.8295478001308908	0.05053564460866406	0.021418304898237463	0.6209166774824554
0.0	0.9765177697004829	0.866863300742449	0.9966348708672839	0.0	0.0	1.013881250866262	0.06978950406500212	0.0613709131692649	0.9757868525377433	0.9757868525377433	1.015265326098789	0.8751080602150135	0.9969945348232488	0.9784369650690121	0.9975666837878621	0.9972397072090391	0.9956794527440632	0.9956051713991602	0.0	0.9471736906286136	0.29912649404418706	0.29912649404418706	1.0131066808468676	0.9780395884374598	0.0	0.0	0.9908297995534251	1.012827411945008	0.7824612113975318	0.9968903972452681	0.9775723676175971	0.8234077451857107	0.044765286913355455	0.0	0.5793036612309166
0.0	0.9718698462929027	0.8502921371071518	0.9964989918540595	0.0	0.0	1.013357820024814	0.05621576183672353	0.05612351701070885	0.971782430045574	0.971782430045574	1.014774182075201	0.8689356658864827	0.9969055966633003	0.9777133305040199	0.9974409653050921	0.9971732513825189	0.9956360078806464	0.9912103601082806	0.0	0.9387580616793251	0.28661530706501004	0.28661530706501004	1.012902169835407	0.977736445950449	0.0	0.0	0.9889286592803223	1.0126924344563706	0.7794214122243204	0.9967580890062582	0.9775254502204909	0.8097194432677209	0.039341797486017106	0.0	0.565583780017847
0.0	0.9680416804398896	0.8207180314806622	0.9964812787223616	0.0	0.0	1.0132397461455815	0.05174399049538595	0.045259891453595734	0.9713738802789668	0.9713738802789668	1.014209683107758	0.8610164828520203	0.9962564673205507	0.9776570054703361	0.9971572623941438	0.9969149622632146	0.9912117240598105	0.9856646286868422	0.0	0.9328378735708092	0.2666331033915548	0.2666331033915548	1.0122293188621903	0.9772874688372047	0.0	0.0	0.9807881329009469	1.0110942365881166	0.7561364166765755	0.9965485631744779	0.9764018564941354	0.786259176479101	0.03530992851020792	0.0	0.5325358169123785
0.0	0.964751317288104	0.8147747039718495	0.9962448585622099	0.0	0.0	1.0129230069340218	0.05095385641331178	0.0445502180586372	0.9686767842746744	0.9686767842746744	1.0139877033870288	0.8579491284328934	0.99532228940169	0.975312585650026	0.9968921298896484	0.9967561391965511	0.9865200912727915	0.9786540588620408	0.0	0.9033772573056401	0.2649480295791445	0.2649480295791445	1.0121418214245808	0.9763988208923601	0.0	0.0	0.9780568784174812	1.01055011564184	0.7314987106650568	0.9964573838763908	0.9736030181012746	0.7783715455477449	0.029192311957540972	0.0	0.4822722568268482
0.0	0.9631212869430598	0.8065053318925677	0.9955413137036436	0.0	0.0	1.012675809890513	0.05094146617370061	0.04413450437478112	0.9685065461494613	0.9685065461494613	1.013589410706997	0.8241261132476025	0.9952034140819026	0.9703444936315201	0.9968073006737572	0.996617452790205	0.9835922205234643	0.9778737988784343	0.0	0.8880724704429085	0.2641112889716903	0.2641112889716903	1.00861825498273	0.9721840511609735	0.0	0.0	0.9763799937352498	1.0072028626113214	0.7260366517439221	0.9957098435208506	0.9733785712299754	0.7553263747058543	0.024195157888440216	0.0	0.440150894439593
0.0	0.9630713694086648	0.7988434168348126	0.9942046919588275	0.0	0.0	1.0108018681884323	0.04176600780597308	0.038939786661914465	0.9683934730314999	0.9683934730314999	1.0133870513985472	0.8177048811387239	0.9929682374592055	0.964865194493399	0.9961139278764557	0.996135897826429	0.9768379088671458	0.977137402706926	0.0	0.8826893100819184	0.2630719226679347	0.2630719226679347	1.007340739228156	0.9644781206526425	0.0	0.0	0.9699985175059727	1.0063375266269303	0.6657405612587577	0.9946865902513001	0.9647814499117309	0.7489665456445943	0.023070482216452817	0.0	0.43304319231048816
